No,UID,X,Y,Z,Angle
941,1000101023,-89.360703,0.563049,0.290973,3.21303456
951,1000101023,-89.357658,0.563544,0.305969,3.21303456
961,1000101023,-89.360565,0.564368,0.298059,3.21303456
971,1000101023,-88.810883,1.147137,0.304266,4.284046081
981,1000101023,-88.811813,1.149554,0.301245,4.284046081
991,1000101023,-88.237862,1.734082,0.308331,5.355057601
1001,1000101023,-88.237068,1.734247,0.311682,5.355057601
1011,1000101023,-88.238976,1.729797,0.310419,5.355057601
1021,1000101023,-88.239609,1.733148,0.316461,5.355057601
1031,1000101023,-88.809776,1.146039,0.307947,4.284046081
1041,1000101023,-88.808258,1.148456,0.311572,4.284046081
1051,1000101023,-88.811432,1.149664,0.315637,4.284046081
1061,1000101023,-89.359154,0.564258,0.307123,3.21303456
1071,1000101023,-89.360413,0.564423,0.303717,3.21303456
1091,1000101023,-89.689896,-0.020819,0.297125,2.14202304
1101,1000101023,-89.700684,-0.011481,0.303223,2.14202304
1111,1000101023,-89.341194,-0.59046,0.295038,1.07101152
1121,1000101023,-89.340202,-0.592163,0.290588,1.07101152
1131,1000101023,-89.340973,-0.591064,0.29707,1.07101152
1141,1000101023,-88.801903,-1.173944,0.28927,0
1151,1000101023,-88.802559,-1.172626,0.288171,0
1161,1000101023,-88.238312,-1.741003,0.283008,-1.07101152
1171,1000101023,-88.241776,-1.74375,0.286304,-1.07101152
1181,1000101023,-88.239479,-1.742047,0.284271,-1.07101152
1191,1000101023,-87.677811,-2.310535,0.278339,-2.14202304
1201,1000101023,-87.67762,-2.312457,0.278998,-2.14202304
1211,1000101023,-87.680481,-2.313501,0.283228,-2.14202304
1221,1000101023,-87.119164,-2.876605,0.279877,-3.21303456
1231,1000101023,-86.551437,-3.43927,0.273614,-4.284046081
1241,1000101023,-85.989197,-3.99809,0.273889,-5.355057601
751,1000101024,-86.229492,-3.698273,0.762726,-5.355057601
761,1000101024,-86.776291,-3.13764,0.773108,-4.284046081
771,1000101024,-86.777161,-3.134564,0.774976,-4.284046081
781,1000101024,-86.775017,-3.132642,0.772833,-4.284046081
791,1000101024,-87.314911,-2.574866,0.775854,-3.21303456
801,1000101024,-87.318291,-2.565912,0.774152,-3.21303456
811,1000101024,-87.320702,-2.573163,0.77948,-3.21303456
821,1000101024,-87.851608,-2.00484,0.77926,-2.14202304
831,1000101024,-87.855286,-2.004126,0.781458,-2.14202304
841,1000101024,-87.858719,-2.006708,0.77926,-2.14202304
851,1000101024,-88.363167,-1.432672,0.777722,-1.07101152
861,1000101024,-88.832184,-0.861053,0.786127,0
871,1000101024,-88.840309,-0.858966,0.786841,0
881,1000101024,-88.831306,-0.860834,0.782336,0
891,1000101024,-89.166016,-0.283063,0.806342,1.07101152
901,1000101024,-89.158028,-0.284271,0.794092,1.07101152
911,1000101024,-89.156593,-0.284436,0.80332,1.07101152
921,1000101024,-89.152695,0.29361,0.798706,2.14202304
922,1000101024,-89.152695,0.29361,0.798706,2.14202304
932,1000101024,-89.147888,0.292181,0.793543,2.14202304
942,1000101024,-88.810699,0.872809,0.804584,3.21303456
952,1000101024,-88.815422,0.873633,0.80398,3.21303456
962,1000101024,-88.814674,0.873798,0.801508,3.21303456
972,1000101024,-88.807831,0.874402,0.793488,3.21303456
982,1000101024,-88.331764,1.455963,0.813153,4.284046081
992,1000101024,-88.330208,1.455688,0.808759,4.284046081
1002,1000101024,-87.800652,2.039941,0.813757,5.355057601
1012,1000101024,-87.795448,2.040491,0.812769,5.355057601
1022,1000101024,-87.801407,2.045544,0.804913,5.355057601
1032,1000101024,-87.80014,2.048346,0.820624,5.355057601
1042,1000101024,-88.328468,1.460742,0.811066,4.284046081
1052,1000101024,-88.33548,1.458545,0.806616,4.284046081
1062,1000101024,-88.327911,1.457831,0.804419,4.284046081
1072,1000101024,-88.820198,0.873962,0.808209,3.21303456
1082,1000101024,-88.811462,0.873798,0.803265,3.21303456
1102,1000101024,-89.149338,0.294324,0.797662,2.14202304
1112,1000101024,-89.15033,0.294873,0.793982,2.14202304
1122,1000101024,-89.162796,-0.287567,0.790906,1.07101152
1132,1000101024,-89.16494,-0.288116,0.793762,1.07101152
1142,1000101024,-89.161453,-0.288062,0.792224,1.07101152
1152,1000101024,-88.837311,-0.859241,0.790137,0
1162,1000101024,-88.835541,-0.860504,0.788104,0
1172,1000101024,-88.375908,-1.436627,0.784973,-1.07101152
1182,1000101024,-88.371559,-1.431024,0.786072,-1.07101152
1192,1000101024,-88.366951,-1.433936,0.783105,-1.07101152
1202,1000101024,-87.857559,-1.998633,0.775909,-2.14202304
1212,1000101024,-87.85997,-2.001709,0.772174,-2.14202304
1222,1000101024,-87.853539,-2.002862,0.7797,-2.14202304
1232,1000101024,-87.316963,-2.56756,0.773657,-3.21303456
1242,1000101024,-86.772919,-3.13808,0.770142,-4.284046081
1252,1000101024,-86.231102,-3.695746,0.778656,-5.355057601
752,1000101025,-86.471077,-3.108691,1.673328,-5.355057601
762,1000101025,-86.958031,-2.548663,1.677667,-4.284046081
772,1000101025,-86.950996,-2.549872,1.681073,-4.284046081
782,1000101025,-86.950951,-2.552838,1.678601,-4.284046081
792,1000101025,-87.39872,-1.986053,1.684259,-3.21303456
802,1000101025,-87.396881,-1.98512,1.681677,-3.21303456
812,1000101025,-87.398506,-1.982593,1.678931,-3.21303456
822,1000101025,-87.796135,-1.419983,1.688489,-2.14202304
832,1000101025,-87.791527,-1.416852,1.689038,-2.14202304
842,1000101025,-87.792786,-1.41828,1.6875,-2.14202304
852,1000101025,-88.102829,-0.844629,1.700629,-1.07101152
862,1000101025,-88.277023,-0.274054,1.708154,0
872,1000101025,-88.280655,-0.276361,1.702826,0
882,1000101025,-88.2836,-0.271967,1.698926,0
892,1000101025,-88.272423,0.306189,1.70387,1.07101152
902,1000101025,-88.264885,0.302454,1.708649,1.07101152
912,1000101025,-88.269958,0.304047,1.705792,1.07101152
923,1000101025,-88.079109,0.886652,1.710022,2.14202304
933,1000101025,-88.07589,0.882806,1.714801,2.14202304
943,1000101025,-87.742462,1.462116,1.714911,3.21303456
953,1000101025,-87.746063,1.465356,1.718207,3.21303456
963,1000101025,-87.741035,1.461896,1.717602,3.21303456
