DateTime,UID,V,X,Y,Z,T
20/3/28 2:40:0,7,3473,5.75409,-8.16386,-79.992874,14.3
20/3/28 2:45:0,7,3468,5.753663,-8.167388,-79.988632,14.2
20/3/28 2:50:0,7,3470,5.756956,-8.166854,-79.988136,14.2
20/3/28 2:55:0,7,3468,5.761832,-8.170942,-79.983345,14.2
20/3/28 3:0:0,7,3471,5.762772,-8.174013,-79.980171,14.2
20/3/28 3:5:0,7,3473,5.760066,-8.175046,-79.981575,14.2
20/3/29 16:30:0,8,3518,26.019316,-12.728477,-60.595558,18.1
20/3/29 16:35:0,8,3512,26.079153,-12.732444,-60.544014,16.700001
20/3/29 16:40:0,8,3505,26.095486,-12.729867,-60.530918,16.1
20/3/29 16:45:0,8,3500,26.121187,-12.724763,-60.509556,15.9
20/3/29 16:50:0,8,3497,26.13179,-12.718122,-60.50243,15.6
20/3/29 16:55:0,8,3491,26.135468,-12.713943,-60.499741,15.5
20/3/29 17:0:0,8,3492,26.152224,-12.709322,-60.487453,15.4
20/3/29 16:20:0,9,3538,22.857649,-12.401543,-65.187775,22
20/3/29 16:25:0,9,3533,22.212049,-13.446906,-63.664768,20.4
20/3/29 16:30:0,9,3527,22.187815,-13.263291,-63.779259,16.6
20/3/29 16:35:0,9,3526,22.201252,-13.227555,-63.785465,15.5
20/3/29 16:40:0,9,3520,22.204912,-13.229331,-63.78318,15.3
20/3/29 16:45:0,9,3517,22.206738,-13.234887,-63.777866,15.2
20/3/29 16:50:0,9,3512,22.209116,-13.232642,-63.777451,15.1
20/3/29 16:55:0,9,3509,22.213243,-13.233235,-63.775234,14.9
20/3/29 17:0:0,9,3508,22.2141,-13.239573,-63.766899,14.9
20/3/29 17:5:0,9,3508,22.217012,-13.246998,-63.76207,15.1
20/3/29 17:10:0,9,3503,22.216955,-13.267272,-63.752575,15.3
20/3/29 17:15:0,9,3500,22.217356,-13.263821,-63.753841,15.2
20/3/29 17:20:0,9,3503,22.218363,-13.263101,-63.753136,15
20/3/29 17:25:0,9,3500,22.2183,-13.265236,-63.752045,15.1
20/3/29 17:30:0,9,3498,22.220566,-13.269574,-63.748329,15.2
20/3/29 17:35:0,9,3500,22.220667,-13.272521,-63.746307,15.2
20/3/29 17:40:0,9,3498,22.221077,-13.271995,-63.745617,15.1
20/3/29 17:45:0,9,3497,22.221426,-13.272665,-63.74482,14.9
20/3/29 17:50:0,9,3495,22.219988,-13.274033,-63.744972,14.9
20/3/29 17:55:0,9,3497,22.224352,-13.275425,-63.740768,14.9
20/3/29 18:0:0,9,3494,22.224724,-13.27351,-63.74073,14.9
20/3/29 18:5:0,9,3497,22.225918,-13.276467,-63.736969,14.8
20/3/29 18:10:0,9,3494,22.225969,-13.278921,-63.736492,14.9
20/3/29 18:15:0,9,3495,22.225948,-13.278553,-63.738182,14.8
20/3/29 18:20:0,9,3495,22.228775,-13.278837,-63.73288,14.8
20/3/29 18:25:0,9,3494,22.228941,-13.282348,-63.730297,14.8
20/3/29 18:30:0,9,3495,22.229259,-13.282234,-63.730095,14.7
20/3/29 18:35:0,9,3497,22.230665,-13.283727,-63.728355,14.7
20/3/29 18:40:0,9,3495,22.226572,-13.283587,-63.732452,14.7
20/3/29 18:45:0,9,3494,22.230635,-13.422703,-63.613861,15
20/3/29 18:50:0,9,3495,22.214666,-13.402822,-63.677258,14.9
20/3/29 18:55:0,9,3489,22.212193,-13.39158,-63.685417,14.7
20/3/29 19:0:0,9,3492,22.217348,-13.387168,-63.684208,14.5
20/3/29 19:5:0,9,3495,22.218252,-13.38528,-63.684898,14.5
20/3/29 16:10:0,10,3532,20.344971,-12.802071,-65.650826,24.1
20/3/29 16:15:0,10,3532,20.429157,-12.719873,-65.626015,22.700001
20/3/29 16:20:0,10,3529,20.459087,-12.689069,-65.617104,22.4
20/3/29 16:25:0,10,3527,20.468063,-12.731941,-65.586655,22.1
20/3/29 16:30:0,10,3524,19.783464,-7.103815,-68.877747,22.799999
20/3/29 16:35:0,10,3524,19.810486,-7.121082,-68.846062,22.799999
20/3/29 16:40:0,10,3526,20.74773,-10.536546,-66.499954,22.299999
20/3/29 16:45:0,10,3524,20.77586,-10.629866,-66.433418,22.1
20/3/29 16:50:0,10,3524,21.200924,-12.115611,-65.280617,22
20/3/29 16:55:0,10,3521,21.231684,-12.193508,-65.213715,21.9
20/3/29 17:0:0,10,3518,21.252003,-12.236865,-65.173134,21.9
20/3/29 17:5:0,10,3521,21.20915,-12.211434,-65.224648,21.700001
20/3/29 17:10:0,10,3518,21.225998,-12.240969,-65.194336,21.700001
20/3/29 17:15:0,10,3518,21.240623,-12.258697,-65.172302,21.700001
20/3/29 17:20:0,10,3518,21.245495,-12.282087,-65.156509,21.799999
20/3/29 17:25:0,10,3520,21.254461,-12.292008,-65.142433,21.9
20/3/29 17:30:0,10,3517,21.261492,-12.308928,-65.12587,21.9
20/3/29 17:35:0,10,3518,21.285812,-12.35233,-65.080666,21.799999
20/3/29 17:40:0,10,3520,21.281748,-12.364092,-65.077675,21.799999
20/3/29 17:45:0,10,3515,21.287973,-12.376991,-65.065804,21.799999
20/3/29 17:50:0,10,3518,21.293777,-12.385792,-65.056137,21.700001
20/3/29 16:30:0,1,3523,15.057164,-16.582357,-67.30838,16.5
20/3/29 16:35:0,1,3518,15.003756,-16.53282,-67.379478,15.3
20/3/29 16:40:0,1,3511,14.985444,-16.476824,-67.436874,15.3
20/3/29 16:45:0,1,3512,14.978068,-16.428442,-67.460602,15.3
20/3/29 16:50:0,1,3503,14.977828,-16.42639,-67.478706,15
